"playerId","question","truth","initial","final","valid","chatrooms","trial","trial_indx"
1250,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1
1668,"headphones",142770,80000,180000,TRUE,1,"22u5YpwA485h5dMwh1",1
835,"headphones",142770,250000,NA,FALSE,1,"22u5YpwA485h5dMwh1",1
1641,"headphones",142770,300,250000,TRUE,1,"22u5YpwA485h5dMwh1",1
1860,"headphones",142770,350000,NA,FALSE,1,"22u5YpwA485h5dMwh1",1
206,"headphones",142770,180000,180000,TRUE,1,"22u5YpwA485h5dMwh1",1
378,"headphones",142770,1e+05,75000,TRUE,1,"22u5YpwA485h5dMwh1",1
1394,"headphones",142770,2e+05,2e+05,TRUE,1,"22u5YpwA485h5dMwh1",1
1142,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1
1430,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1
358,"headphones",142770,250000,250000,TRUE,1,"22u5YpwA485h5dMwh1",1
536,"headphones",142770,NA,125000,FALSE,1,"22u5YpwA485h5dMwh1",1
240,"headphones",142770,50000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1
225,"headphones",142770,NA,3e+05,FALSE,1,"22u5YpwA485h5dMwh1",1
758,"headphones",142770,5e+05,3e+05,TRUE,1,"22u5YpwA485h5dMwh1",1
1426,"headphones",142770,75000,130000,TRUE,1,"22u5YpwA485h5dMwh1",1
61,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1
793,"headphones",142770,2000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1
163,"headphones",142770,NA,NA,FALSE,1,"22u5YpwA485h5dMwh1",1
514,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1
394,"flights",41,125,125,TRUE,1,"2PQkSkH77w73F9h2y1",1
963,"flights",41,175,125000,TRUE,1,"2PQkSkH77w73F9h2y1",1
692,"flights",41,NA,120,FALSE,1,"2PQkSkH77w73F9h2y1",1
1928,"flights",41,90,100,TRUE,1,"2PQkSkH77w73F9h2y1",1
1346,"flights",41,2.56,250,TRUE,1,"2PQkSkH77w73F9h2y1",1
107,"flights",41,40,20,TRUE,1,"2PQkSkH77w73F9h2y1",1
1111,"flights",41,5,100,TRUE,1,"2PQkSkH77w73F9h2y1",1
614,"flights",41,55,70,TRUE,1,"2PQkSkH77w73F9h2y1",1
389,"flights",41,150,175,TRUE,1,"2PQkSkH77w73F9h2y1",1
1843,"flights",41,150,125,TRUE,1,"2PQkSkH77w73F9h2y1",1
1055,"flights",41,18,36,TRUE,1,"2PQkSkH77w73F9h2y1",1
157,"flights",41,35,40,TRUE,1,"2PQkSkH77w73F9h2y1",1
1717,"flights",41,425,425,TRUE,1,"2PQkSkH77w73F9h2y1",1
582,"flights",41,20,40,TRUE,1,"2PQkSkH77w73F9h2y1",1
738,"flights",41,84,84,TRUE,1,"2PQkSkH77w73F9h2y1",1
1182,"flights",41,300,36,TRUE,1,"2PQkSkH77w73F9h2y1",1
566,"flights",41,NA,345,FALSE,1,"2PQkSkH77w73F9h2y1",1
1643,"flights",41,3,3,TRUE,1,"2PQkSkH77w73F9h2y1",1
158,"flights",41,50,279,TRUE,1,"2PQkSkH77w73F9h2y1",1
1031,"flights",41,80,NA,FALSE,1,"2PQkSkH77w73F9h2y1",1
143,"yemen",609,4,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
568,"yemen",609,1000,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
450,"yemen",609,300,300,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
1145,"yemen",609,700,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
510,"yemen",609,345,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
27,"yemen",609,500,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
1948,"yemen",609,343,850,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
185,"yemen",609,1000,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
590,"yemen",609,678,1002,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
625,"yemen",609,1500,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
750,"yemen",609,750,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
611,"yemen",609,NA,1000,FALSE,1,"3NfZZkuKyMeWuSn7q1",1
403,"yemen",609,700,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
1825,"yemen",609,NA,1000,FALSE,1,"3NfZZkuKyMeWuSn7q1",1
1302,"yemen",609,700,1100,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
1091,"yemen",609,850,925,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
1329,"yemen",609,950,975,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
1775,"yemen",609,1000,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
202,"yemen",609,1000,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
920,"yemen",609,800,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1
1274,"philly",570,858,858,TRUE,1,"4rBqFnfAQoCJYr93f1",1
1412,"philly",570,753,975,TRUE,2,"4rBqFnfAQoCJYr93f2",2
201,"philly",570,1067,1098,TRUE,1,"4rBqFnfAQoCJYr93f1",1
465,"philly",570,804,950,TRUE,2,"4rBqFnfAQoCJYr93f2",2
363,"philly",570,1000,2000,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1554,"philly",570,873,1250,TRUE,1,"4rBqFnfAQoCJYr93f1",1
408,"philly",570,1000,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1920,"philly",570,1000,1150,TRUE,1,"4rBqFnfAQoCJYr93f1",1
533,"philly",570,2000,1200,TRUE,1,"4rBqFnfAQoCJYr93f1",1
463,"philly",570,200,200,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1595,"philly",570,1337,1305,TRUE,1,"4rBqFnfAQoCJYr93f1",1
691,"philly",570,2500,1001,TRUE,2,"4rBqFnfAQoCJYr93f2",2
320,"philly",570,1000,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2
971,"philly",570,1800,1350,TRUE,1,"4rBqFnfAQoCJYr93f1",1
1604,"philly",570,1113,1200,TRUE,1,"4rBqFnfAQoCJYr93f1",1
546,"philly",570,1000,900,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1527,"philly",570,1000,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2
819,"philly",570,2567,2300,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1493,"philly",570,1300,1300,TRUE,1,"4rBqFnfAQoCJYr93f1",1
164,"philly",570,1500,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1609,"philly",570,1500,1150,TRUE,1,"4rBqFnfAQoCJYr93f1",1
1639,"philly",570,775,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1821,"philly",570,700,950,TRUE,1,"4rBqFnfAQoCJYr93f1",1
480,"philly",570,500,NA,FALSE,1,"4rBqFnfAQoCJYr93f1",1
581,"philly",570,NA,1000,FALSE,2,"4rBqFnfAQoCJYr93f2",2
247,"philly",570,800,1050,TRUE,1,"4rBqFnfAQoCJYr93f1",1
212,"philly",570,1100,1100,TRUE,1,"4rBqFnfAQoCJYr93f1",1
1137,"philly",570,850,1020,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1061,"philly",570,2000,950,TRUE,1,"4rBqFnfAQoCJYr93f1",1
698,"philly",570,3000,1200,TRUE,1,"4rBqFnfAQoCJYr93f1",1
1919,"philly",570,1200,1200,TRUE,2,"4rBqFnfAQoCJYr93f2",2
370,"philly",570,2500,1600,TRUE,1,"4rBqFnfAQoCJYr93f1",1
1,"philly",570,1330,1330,TRUE,1,"4rBqFnfAQoCJYr93f1",1
1630,"philly",570,675,850,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1380,"philly",570,999,1000,TRUE,1,"4rBqFnfAQoCJYr93f1",1
694,"philly",570,900,850,TRUE,1,"4rBqFnfAQoCJYr93f1",1
1645,"philly",570,2500,2000,TRUE,2,"4rBqFnfAQoCJYr93f2",2
1076,"philly",570,NA,NA,FALSE,2,"4rBqFnfAQoCJYr93f2",2
1103,"philly",570,2000,NA,FALSE,2,"4rBqFnfAQoCJYr93f2",2
1985,"philly",570,1500,1800,TRUE,2,"4rBqFnfAQoCJYr93f2",2
10,"education",7912,1200,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1286,"education",7912,1500,2000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1767,"education",7912,20000,3000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
673,"education",7912,2000,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1778,"education",7912,5500,4500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
342,"education",7912,2000,3000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1569,"education",7912,4000,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
896,"education",7912,3000,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1365,"education",7912,9500,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
777,"education",7912,6000,5500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1310,"education",7912,2300,2300,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1152,"education",7912,3000,3000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
911,"education",7912,NA,4500,FALSE,1,"4WSepDZvwEFsS5vYQ1",1
1403,"education",7912,8000,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1720,"education",7912,100,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
56,"education",7912,10000,10000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
627,"education",7912,6500,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
197,"education",7912,5000,5000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
1749,"education",7912,300,3000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
892,"education",7912,4122,1500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1
127,"education",7912,5000,6000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2
276,"education",7912,5000,5000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2
1049,"education",7912,4000,4000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2
466,"education",7912,4000,4000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2
