text,playerId,trial
x,61,22u5YpwA485h5dMwh1
x,1668,22u5YpwA485h5dMwh1
x,1142,22u5YpwA485h5dMwh1
x,1641,22u5YpwA485h5dMwh1
x,1394,22u5YpwA485h5dMwh1
x,793,22u5YpwA485h5dMwh1
x,1250,22u5YpwA485h5dMwh1
x,206,22u5YpwA485h5dMwh1
x,1426,22u5YpwA485h5dMwh1
x,536,22u5YpwA485h5dMwh1
x,358,22u5YpwA485h5dMwh1
x,240,22u5YpwA485h5dMwh1
x,225,22u5YpwA485h5dMwh1
x,835,22u5YpwA485h5dMwh1
x,1142,22u5YpwA485h5dMwh1
x,1430,22u5YpwA485h5dMwh1
x,1426,22u5YpwA485h5dMwh1
x,61,22u5YpwA485h5dMwh1
x,793,22u5YpwA485h5dMwh1
x,514,22u5YpwA485h5dMwh1
x,1668,22u5YpwA485h5dMwh1
x,758,22u5YpwA485h5dMwh1
x,1394,22u5YpwA485h5dMwh1
x,1641,22u5YpwA485h5dMwh1
x,1142,22u5YpwA485h5dMwh1
x,206,22u5YpwA485h5dMwh1
x,358,22u5YpwA485h5dMwh1
x,1860,22u5YpwA485h5dMwh1
x,1430,22u5YpwA485h5dMwh1
x,1641,22u5YpwA485h5dMwh1
x,61,22u5YpwA485h5dMwh1
x,225,22u5YpwA485h5dMwh1
x,835,22u5YpwA485h5dMwh1
x,536,22u5YpwA485h5dMwh1
x,1394,22u5YpwA485h5dMwh1
x,1250,22u5YpwA485h5dMwh1
x,1394,22u5YpwA485h5dMwh1
x,1142,22u5YpwA485h5dMwh1
x,1142,22u5YpwA485h5dMwh1
x,1641,22u5YpwA485h5dMwh1
x,514,22u5YpwA485h5dMwh1
x,1426,22u5YpwA485h5dMwh1
x,240,22u5YpwA485h5dMwh1
x,1641,22u5YpwA485h5dMwh1
x,1142,22u5YpwA485h5dMwh1
x,1668,22u5YpwA485h5dMwh1
x,793,22u5YpwA485h5dMwh1
x,1394,22u5YpwA485h5dMwh1
x,225,22u5YpwA485h5dMwh1
x,1668,22u5YpwA485h5dMwh1
x,358,22u5YpwA485h5dMwh1
x,1668,22u5YpwA485h5dMwh1
x,1641,22u5YpwA485h5dMwh1
x,1142,22u5YpwA485h5dMwh1
x,378,22u5YpwA485h5dMwh1
x,1250,22u5YpwA485h5dMwh1
x,536,22u5YpwA485h5dMwh1
x,1394,22u5YpwA485h5dMwh1
x,206,22u5YpwA485h5dMwh1
x,514,22u5YpwA485h5dMwh1
x,358,22u5YpwA485h5dMwh1
x,240,22u5YpwA485h5dMwh1
x,1142,22u5YpwA485h5dMwh1
x,1641,22u5YpwA485h5dMwh1
x,61,22u5YpwA485h5dMwh1
x,1860,22u5YpwA485h5dMwh1
x,1668,22u5YpwA485h5dMwh1
x,240,22u5YpwA485h5dMwh1
x,61,22u5YpwA485h5dMwh1
x,225,22u5YpwA485h5dMwh1
x,163,22u5YpwA485h5dMwh1
x,394,2PQkSkH77w73F9h2y1
x,389,2PQkSkH77w73F9h2y1
x,107,2PQkSkH77w73F9h2y1
x,1031,2PQkSkH77w73F9h2y1
x,738,2PQkSkH77w73F9h2y1
x,1643,2PQkSkH77w73F9h2y1
x,394,2PQkSkH77w73F9h2y1
x,389,2PQkSkH77w73F9h2y1
x,963,2PQkSkH77w73F9h2y1
x,157,2PQkSkH77w73F9h2y1
x,1928,2PQkSkH77w73F9h2y1
x,107,2PQkSkH77w73F9h2y1
x,692,2PQkSkH77w73F9h2y1
x,1843,2PQkSkH77w73F9h2y1
x,1182,2PQkSkH77w73F9h2y1
x,158,2PQkSkH77w73F9h2y1
x,738,2PQkSkH77w73F9h2y1
x,1717,2PQkSkH77w73F9h2y1
x,157,2PQkSkH77w73F9h2y1
x,566,2PQkSkH77w73F9h2y1
x,963,2PQkSkH77w73F9h2y1
x,1111,2PQkSkH77w73F9h2y1
x,582,2PQkSkH77w73F9h2y1
x,1346,2PQkSkH77w73F9h2y1
x,614,2PQkSkH77w73F9h2y1
x,157,2PQkSkH77w73F9h2y1
x,389,2PQkSkH77w73F9h2y1
x,107,2PQkSkH77w73F9h2y1
x,1031,2PQkSkH77w73F9h2y1
x,1643,2PQkSkH77w73F9h2y1
